number of clusters: 2
CLUSTER:
	 73, 0.17, 0.00, 0.33, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 43, 0.33, 0.20, 0.33, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 27, 0.17, 0.00, 0.33, 0.00, 0.50, 0.00, 0.00, 1.00, 0.00, 0.00
	 25, 0.33, 0.40, 0.33, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 24, 0.33, 0.20, 0.33, 0.00, 0.50, 0.00, 0.00, 1.00, 0.00, 0.00
	 24, 0.50, 0.20, 0.33, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 19, 0.33, 0.40, 0.33, 0.00, 0.50, 0.00, 0.00, 1.00, 0.00, 0.00
	 15, 0.50, 0.40, 0.33, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 13, 0.50, 0.60, 0.67, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 10, 0.17, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
	  9, 0.50, 0.20, 0.33, 0.00, 0.50, 0.00, 0.00, 1.00, 0.00, 0.00
	  8, 0.50, 0.40, 0.67, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	  7, 0.50, 0.20, 0.67, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	  6, 0.17, 0.00, 0.67, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	  6, 0.33, 0.40, 0.33, 1.00, 0.50, 0.00, 0.00, 1.00, 0.00, 0.00
	  6, 0.33, 0.40, 0.67, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	  6, 0.50, 0.60, 0.33, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
Classifiers:
	(1, 1, 0): 1
	(3, 0, 0): 3
	(0, 0, 0): 276
	(2, 1, 0): 1
	(0, 2, 0): 1
	(1, 0, 0): 31
	(0, 1, 0): 5
	(5, 0, 0): 1
	(2, 0, 0): 1
	(2, 2, 0): 1
CLUSTER:
	 49, 1.00, 0.40, 0.00, 0.00, 0.50, 0.00, 0.00, 1.00, 0.00, 0.00
	 38, 1.00, 0.40, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00
	 27, 1.00, 0.40, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
	 23, 1.00, 0.40, 0.00, 0.00, 0.50, 0.00, 1.00, 0.00, 0.00, 0.00
	 21, 1.00, 0.40, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 20, 1.00, 0.20, 0.00, 0.00, 0.50, 0.00, 0.00, 1.00, 0.00, 0.00
	 17, 1.00, 0.40, 0.00, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	 15, 0.50, 0.60, 0.67, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
	 15, 1.00, 0.20, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 12, 0.33, 0.40, 0.33, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	 11, 0.50, 0.40, 0.33, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	 11, 0.50, 0.60, 0.67, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	 11, 1.00, 0.40, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
	 11, 1.00, 0.40, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
	 10, 0.17, 0.00, 0.33, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	 10, 1.00, 0.60, 0.00, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	  9, 0.33, 0.20, 0.33, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	  9, 1.00, 0.40, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00
	  7, 0.33, 0.40, 0.33, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
	  7, 0.50, 0.60, 0.33, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
	  7, 0.50, 0.60, 0.67, 1.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	  7, 0.67, 0.60, 0.67, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	  7, 0.67, 0.60, 0.67, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
	  7, 0.83, 0.60, 0.67, 1.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	  7, 1.00, 0.40, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
	  6, 0.33, 0.60, 0.33, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	  6, 0.67, 0.60, 0.33, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	  6, 1.00, 0.20, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00
	  6, 1.00, 0.60, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00
	  5, 0.33, 0.60, 0.33, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
	  5, 0.83, 0.60, 0.67, 0.00, 0.50, 0.00, 1.00, 1.00, 0.00, 0.00
	  5, 1.00, 0.20, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00
Classifiers:
	(3, 0, 0): 6
	(0, 0, 0): 348
	(2, 1, 0): 1
	(4, 0, 0): 2
	(1, 0, 0): 36
	(0, 1, 0): 6
	(2, 0, 0): 6
	(4, 1, 0): 1
	(1, 0, 1): 1
